"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"C2_Chemical_and_genetic_perturbations:C2_CGP_219_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_219_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN",204,-2.4405,0,0,0.9367,0.68,0.88,1.2564,0.035,0.72
"WikiPathways:198912_WP98_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","WikiPathways","198912_WP98_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION",30,-2.4397,0,0,-0.9298,0.55,1,0.9327,0.57,1
"GO_BP:516142_GO_0071216_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS","GO_BP","516142_GO_0071216_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS",139,-2.4392,0,0,-1.1246,0.2,0.94,-1.1076,0.22,0.77
"C2_Chemical_and_genetic_perturbations:C2_CGP_1284_ROSS_AML_WITH_CBFB_MYH11_FUSION","C2_Chemical_and_genetic_perturbations","C2_CGP_1284_ROSS_AML_WITH_CBFB_MYH11_FUSION",51,-2.4371,0,0,-0.9599,0.52,1,-1.0905,0.3,0.64
"C7_Immunologic_signatures:C7_ALL_14_GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_14_GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",198,-2.4332,0,0,1.0079,0.44,0.71,-1.6764,0,0.0014
"C7_Immunologic_signatures:C7_ALL_982_GSE22886_NAIVE_BCELL_VS_DC_DN","C7_Immunologic_signatures","C7_ALL_982_GSE22886_NAIVE_BCELL_VS_DC_DN",199,-2.4272,0,0,-0.5703,1,1,0.8842,0.8,1
"KEGG_pathway:HSA05134_LEGIONELLOSIS","KEGG_pathway","HSA05134_LEGIONELLOSIS",55,-2.4262,0,0,-1.397,0.048,0.38,-1.8937,0,0.034
"C4_Cancer_modules:C4_CM_5_MODULE_5","C4_Cancer_modules","C4_CM_5_MODULE_5",426,-2.4241,0,0,1.0123,0.4,0.71,1.0041,0.42,0.95
"C7_Immunologic_signatures:C7_ALL_976_GSE22886_NAIVE_TCELL_VS_DC_DN","C7_Immunologic_signatures","C7_ALL_976_GSE22886_NAIVE_TCELL_VS_DC_DN",200,-2.4224,0,0,-0.6838,1,1,0.9143,0.69,1
"C7_Immunologic_signatures:C7_ALL_1901_GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1901_GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP",195,-2.4217,0,0,-1.2809,0.048,0.51,-1.2554,0.038,0.19
"C4_Cancer_gene_neighborhoods:C4_CGN_394_GNF2_PTPN4","C4_Cancer_gene_neighborhoods","C4_CGN_394_GNF2_PTPN4",49,-2.4197,0,0,0.8396,0.75,0.94,-1.6259,0.0061,0.069
"C7_Immunologic_signatures:C7_ALL_1068_GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN","C7_Immunologic_signatures","C7_ALL_1068_GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN",200,-2.4176,0,0,-1.1837,0.12,0.88,1.0138,0.42,1
"C4_Cancer_gene_neighborhoods:C4_CGN_333_GNF2_CD7","C4_Cancer_gene_neighborhoods","C4_CGN_333_GNF2_CD7",38,-2.417,0,0,0.9625,0.51,0.67,-1.8415,0,0.01
"C7_Immunologic_signatures:C7_ALL_1078_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN","C7_Immunologic_signatures","C7_ALL_1078_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN",199,-2.4145,0,0,-0.6617,1,1,-1.1357,0.15,0.4
"C7_Immunologic_signatures:C7_ALL_334_GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN","C7_Immunologic_signatures","C7_ALL_334_GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN",199,-2.4141,0,0,-1.7053,0,0.0028,-1.1585,0.13,0.35
"C7_Immunologic_signatures:C7_ALL_1056_GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN","C7_Immunologic_signatures","C7_ALL_1056_GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN",200,-2.4135,0,0,0.8463,0.89,1,-0.9302,0.67,0.89
"C7_Immunologic_signatures:C7_ALL_1647_GSE3982_MAC_VS_BCELL_UP","C7_Immunologic_signatures","C7_ALL_1647_GSE3982_MAC_VS_BCELL_UP",197,-2.4062,0,0,-0.7665,0.98,1,-1.0494,0.31,0.61
"C7_Immunologic_signatures:C7_ALL_1577_GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP","C7_Immunologic_signatures","C7_ALL_1577_GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP",194,-2.405,0,0,0.9744,0.52,0.82,-1.167,0.12,0.34
"C2_Chemical_and_genetic_perturbations:C2_CGP_2904_NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2904_NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP",71,-2.4044,0,0,-0.8186,0.81,1,-1.1077,0.26,0.62
"C7_Immunologic_signatures:C7_ALL_336_GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN","C7_Immunologic_signatures","C7_ALL_336_GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN",198,-2.4016,0,0,-1.5881,0,0.02,-1.1653,0.12,0.34
"C2_Chemical_and_genetic_perturbations:C2_CGP_1652_RAMALHO_STEMNESS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1652_RAMALHO_STEMNESS_DN",74,-2.4009,0,0,-1.1733,0.18,0.82,-1.2794,0.076,0.45
"C7_Immunologic_signatures:C7_ALL_1137_GSE2706_2H_VS_8H_R848_STIM_DC_UP","C7_Immunologic_signatures","C7_ALL_1137_GSE2706_2H_VS_8H_R848_STIM_DC_UP",193,-2.4009,0,0,-1.2584,0.065,0.59,-1.6735,0,0.0014
"C4_Cancer_gene_neighborhoods:C4_CGN_363_GNF2_IL2RB","C4_Cancer_gene_neighborhoods","C4_CGN_363_GNF2_IL2RB",45,-2.3994,0,0,0.8842,0.69,0.86,-1.4423,0.038,0.14
"C7_Immunologic_signatures:C7_ALL_1635_GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_UP","C7_Immunologic_signatures","C7_ALL_1635_GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_UP",199,-2.397,0,0,0.6528,1,1,-1.208,0.084,0.26
"REACTOME:106413_REACT_11152_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME","106413_REACT_11152_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",67,-2.396,0,0,1.1322,0.23,0.54,-1.1193,0.23,0.68
"C7_Immunologic_signatures:C7_ALL_60_GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_60_GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN",195,-2.3959,0,0,-0.7093,1,1,-1.2912,0.033,0.15
"C7_Immunologic_signatures:C7_ALL_1025_GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1025_GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP",195,-2.3947,0,0,-1.021,0.4,1,-1.0087,0.42,0.7
"GO_BP:501981_GO_0032755_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION","GO_BP","501981_GO_0032755_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",55,-2.3875,0,0,-1.1156,0.26,0.94,-0.8062,0.83,0.99
"C2_Chemical_and_genetic_perturbations:C2_CGP_1349_WIELAND_UP_BY_HBV_INFECTION","C2_Chemical_and_genetic_perturbations","C2_CGP_1349_WIELAND_UP_BY_HBV_INFECTION",100,-2.3861,0,0,0.9035,0.68,0.92,-1.4808,0.0059,0.31
"C7_Immunologic_signatures:C7_ALL_1073_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP","C7_Immunologic_signatures","C7_ALL_1073_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP",197,-2.3768,0,0,-0.8424,0.86,1,-1.1001,0.24,0.5
"C2_Chemical_and_genetic_perturbations:C2_CGP_2410_QI_PLASMACYTOMA_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2410_QI_PLASMACYTOMA_UP",258,-2.3755,0,0,1.0259,0.37,0.76,-1.1377,0.13,0.59
"C2_Chemical_and_genetic_perturbations:C2_CGP_334_GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_334_GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP",65,-2.3747,0,0,-1.0093,0.43,0.99,-1.5156,0.02,0.28
"C2_Chemical_and_genetic_perturbations:C2_CGP_1564_TAVOR_CEBPA_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1564_TAVOR_CEBPA_TARGETS_UP",48,-2.373,0,0,-0.6367,0.98,1,-1.3347,0.066,0.41
"C7_Immunologic_signatures:C7_ALL_1023_GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1023_GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP",196,-2.372,0,0,-0.7558,0.99,1,-0.9431,0.63,0.87
"C7_Immunologic_signatures:C7_ALL_1870_GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_1870_GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN",198,-2.3713,0,0,1.2168,0.073,0.2,-1.0261,0.4,0.67
"C2_Chemical_and_genetic_perturbations:C2_CGP_2528_PARK_APL_PATHOGENESIS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2528_PARK_APL_PATHOGENESIS_DN",49,-2.3669,0,0,-0.6645,0.97,1,-1.0466,0.37,0.69
"C4_Cancer_modules:C4_CM_59_MODULE_63","C4_Cancer_modules","C4_CM_59_MODULE_63",207,-2.3618,0,0,-1.2681,0.041,0.57,1.2242,0.069,0.54
"C2_Chemical_and_genetic_perturbations:C2_CGP_2515_LINDSTEDT_DENDRITIC_CELL_MATURATION_A","C2_Chemical_and_genetic_perturbations","C2_CGP_2515_LINDSTEDT_DENDRITIC_CELL_MATURATION_A",66,-2.3584,0,0,-1.036,0.4,0.97,-1.0688,0.33,0.67
"C2_Chemical_and_genetic_perturbations:C2_CGP_1787_LIAN_LIPA_TARGETS_3M","C2_Chemical_and_genetic_perturbations","C2_CGP_1787_LIAN_LIPA_TARGETS_3M",59,-2.3497,0,0,1.0253,0.4,0.76,1.5146,0.019,0.48
"C2_Chemical_and_genetic_perturbations:C2_CGP_1172_ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1172_ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP",219,-2.3455,0,0,-1.0107,0.43,0.99,-1.345,0.014,0.4
"C2_Chemical_and_genetic_perturbations:C2_CGP_1341_FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1341_FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP",86,-2.3421,0,0,1.3679,0.027,0.32,-0.9236,0.64,0.85
"GO_BP:491964_GO_0007159_LEUKOCYTE_CELL_CELL_ADHESION","GO_BP","491964_GO_0007159_LEUKOCYTE_CELL_CELL_ADHESION",258,-2.3412,0,0,-0.7505,1,1,-1.3317,0.011,0.62
"KEGG_compound:C07645_ALDOPHOSPHAMIDE","KEGG_compound","C07645_ALDOPHOSPHAMIDE",27,-2.3376,0,0,-1.8616,0.0018,0.011,-1.9521,0,0.097
"C2_Chemical_and_genetic_perturbations:C2_CGP_214_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_214_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP",85,-2.3336,0,0,0.9382,0.6,0.88,-1.1689,0.16,0.55
"C2_Chemical_and_genetic_perturbations:C2_CGP_423_MARKEY_RB1_ACUTE_LOF_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_423_MARKEY_RB1_ACUTE_LOF_UP",214,-2.3334,0,0,1.1222,0.17,0.6,-1.2095,0.088,0.51
"C7_Immunologic_signatures:C7_ALL_988_GSE22886_NAIVE_CD8_TCELL_VS_DC_DN","C7_Immunologic_signatures","C7_ALL_988_GSE22886_NAIVE_CD8_TCELL_VS_DC_DN",199,-2.3321,0,0,0.6525,1,1,0.7488,0.98,1
"C7_Immunologic_signatures:C7_ALL_1874_GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_1874_GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN",199,-2.3318,0,0,0.8235,0.92,1,-1.0058,0.42,0.71
"GO_BP:511678_GO_0050707_REGULATION_OF_CYTOKINE_SECRETION","GO_BP","511678_GO_0050707_REGULATION_OF_CYTOKINE_SECRETION",112,-2.3303,0,0.00015,-0.8554,0.79,1,-1.0269,0.39,0.82
"C7_Immunologic_signatures:C7_ALL_994_GSE22886_NAIVE_CD4_TCELL_VS_DC_DN","C7_Immunologic_signatures","C7_ALL_994_GSE22886_NAIVE_CD4_TCELL_VS_DC_DN",200,-2.3268,0,0,0.9753,0.51,0.82,-0.9326,0.66,0.89
"C2_Chemical_and_genetic_perturbations:C2_CGP_2174_WALLACE_PROSTATE_CANCER_RACE_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2174_WALLACE_PROSTATE_CANCER_RACE_UP",285,-2.326,0,0,1.1873,0.076,0.51,-1.4852,0,0.31
"C7_Immunologic_signatures:C7_ALL_1122_GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN","C7_Immunologic_signatures","C7_ALL_1122_GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN",190,-2.3225,0,0,-1.262,0.056,0.58,-1.7058,0,0.00068
"C2_Chemical_and_genetic_perturbations:C2_CGP_508_DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_508_DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP",50,-2.3213,0,0,1.1436,0.25,0.56,-1.1421,0.25,0.58
"C7_Immunologic_signatures:C7_ALL_2_KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_2_KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN",200,-2.319,0,0,1.3848,0.012,0.043,-1.0212,0.39,0.68
"C2_Chemical_and_genetic_perturbations:C2_CGP_1504_HALMOS_CEBPA_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1504_HALMOS_CEBPA_TARGETS_UP",51,-2.3189,0,0,-1.0589,0.35,0.97,-1.4575,0.024,0.32
"C2_Chemical_and_genetic_perturbations:C2_CGP_1447_NADLER_OBESITY_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1447_NADLER_OBESITY_UP",59,-2.315,0,0,0.8776,0.71,0.94,0.9605,0.53,0.98
"C2_Chemical_and_genetic_perturbations:C2_CGP_2472_BOYLAN_MULTIPLE_MYELOMA_C_D_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2472_BOYLAN_MULTIPLE_MYELOMA_C_D_DN",249,-2.3128,0,0,1.0627,0.27,0.69,-0.9942,0.47,0.76
"C7_Immunologic_signatures:C7_ALL_1758_GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_DN","C7_Immunologic_signatures","C7_ALL_1758_GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_DN",162,-2.3122,0,0,0.8407,0.88,1,0.9449,0.59,1
"C7_Immunologic_signatures:C7_ALL_1118_GSE2706_UNSTIM_VS_2H_LPS_DC_DN","C7_Immunologic_signatures","C7_ALL_1118_GSE2706_UNSTIM_VS_2H_LPS_DC_DN",190,-2.31,0,0,-1.4021,0.016,0.23,-1.4469,0.0041,0.036
"C2_Chemical_and_genetic_perturbations:C2_CGP_221_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_221_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",140,-2.3075,0,0,1.1283,0.2,0.59,1.4459,0.0099,0.54
"C7_Immunologic_signatures:C7_ALL_1088_GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_1088_GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN",197,-2.3065,0,0,-0.8045,0.93,1,-1.3261,0.016,0.11
"C2_Chemical_and_genetic_perturbations:C2_CGP_2699_POOLA_INVASIVE_BREAST_CANCER_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2699_POOLA_INVASIVE_BREAST_CANCER_UP",273,-2.3027,0,0,1.1008,0.19,0.63,-1.2075,0.065,0.51
"C4_Cancer_gene_neighborhoods:C4_CGN_334_GNF2_CD97","C4_Cancer_gene_neighborhoods","C4_CGN_334_GNF2_CD97",38,-2.2985,0,0,-0.6695,0.96,1,-1.4514,0.038,0.13
"C7_Immunologic_signatures:C7_ALL_1553_GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP","C7_Immunologic_signatures","C7_ALL_1553_GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP",196,-2.297,0,0,-0.9578,0.54,1,-2.0228,0,0
"C2_Chemical_and_genetic_perturbations:C2_CGP_222_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_222_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP",171,-2.2963,0,0,1.3417,0.015,0.35,-1.5335,0,0.28
"C7_Immunologic_signatures:C7_ALL_1889_GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","C7_Immunologic_signatures","C7_ALL_1889_GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",198,-2.2959,0,0,-1.0349,0.35,1,1.3383,0.019,0.24
"KEGG_compound:C14786__1R_2S_NAPHTHALENE_1_2_OXIDE_1R_2S_NAPHTHALENE_EPOXIDE","KEGG_compound","C14786__1R_2S_NAPHTHALENE_1_2_OXIDE_1R_2S_NAPHTHALENE_EPOXIDE",25,-2.2953,0,0,-2.0603,0,0.012,-1.6737,0.013,0.093
"GO_BP:491808_GO_0006968_CELLULAR_DEFENSE_RESPONSE","GO_BP","491808_GO_0006968_CELLULAR_DEFENSE_RESPONSE",55,-2.295,0,0.00013,0.85,0.76,1,-0.7051,0.96,0.99
"GO_BP:515418_GO_0070486_LEUKOCYTE_AGGREGATION","GO_BP","515418_GO_0070486_LEUKOCYTE_AGGREGATION",225,-2.2897,0,0.00012,-0.7954,0.96,1,-1.3094,0.017,0.64
"C4_Cancer_modules:C4_CM_160_MODULE_170","C4_Cancer_modules","C4_CM_160_MODULE_170",98,-2.2889,0,0,1.2847,0.066,0.3,1.1256,0.2,0.75
"GO_BP:507785_GO_0045428_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS","GO_BP","507785_GO_0045428_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS",47,-2.2858,0,0.00011,-1.2547,0.14,0.91,-1.4813,0.025,0.53
"C2_Chemical_and_genetic_perturbations:C2_CGP_2510_GOLDRATH_ANTIGEN_RESPONSE","C2_Chemical_and_genetic_perturbations","C2_CGP_2510_GOLDRATH_ANTIGEN_RESPONSE",344,-2.2846,0,0,1.2193,0.034,0.47,-1.6199,0,0.24
"C7_Immunologic_signatures:C7_ALL_72_GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_72_GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN",197,-2.2823,0,0,0.6563,1,1,-1.3866,0.011,0.071
"GO_BP:491798_GO_0006954_INFLAMMATORY_RESPONSE","GO_BP","491798_GO_0006954_INFLAMMATORY_RESPONSE",413,-2.2823,0,1e-04,-1.1551,0.097,0.92,1.0369,0.32,0.82
"GO_BP:754528_GO_1901568_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS","GO_BP","754528_GO_1901568_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS",94,-2.2793,0,9.3e-05,-1.0232,0.39,0.97,-1.1537,0.17,0.73
"C2_Chemical_and_genetic_perturbations:C2_CGP_1521_GERY_CEBP_TARGETS","C2_Chemical_and_genetic_perturbations","C2_CGP_1521_GERY_CEBP_TARGETS",125,-2.2789,0,0,-1.3678,0.022,0.64,-1.2089,0.11,0.51
"C7_Immunologic_signatures:C7_ALL_1895_GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1895_GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP",195,-2.277,0,0,-0.8982,0.75,1,-1.2968,0.044,0.14
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_6_BIOCARTA_GRANULOCYTES_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_6_BIOCARTA_GRANULOCYTES_PATHWAY",14,-2.2766,0,0,-1.2011,0.24,1,-1.9124,0.002,0.089
"GO_BP:499914_GO_0030593_NEUTROPHIL_CHEMOTAXIS","GO_BP","499914_GO_0030593_NEUTROPHIL_CHEMOTAXIS",42,-2.2763,0,8.6e-05,-1.0824,0.34,0.95,0.8235,0.77,1
"C7_Immunologic_signatures:C7_ALL_1822_GSE7852_LN_VS_FAT_TCONV_DN","C7_Immunologic_signatures","C7_ALL_1822_GSE7852_LN_VS_FAT_TCONV_DN",200,-2.2758,0,0,-0.7704,0.96,1,-1.3653,0.01,0.084
"GO_BP:505284_GO_0042108_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS","GO_BP","505284_GO_0042108_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS",58,-2.2751,0,8.1e-05,-1.2102,0.15,0.88,-0.8691,0.71,0.95
"C4_Cancer_modules:C4_CM_71_MODULE_76","C4_Cancer_modules","C4_CM_71_MODULE_76",76,-2.2742,0,0,1.2035,0.14,0.39,1.4152,0.025,0.32
"KEGG_compound:C14802_1_NITRONAPHTHALENE_7_8_OXIDE","KEGG_compound","C14802_1_NITRONAPHTHALENE_7_8_OXIDE",19,-2.2734,0,0,-1.9333,0,0.0045,-1.8565,0.0076,0.063
"C7_Immunologic_signatures:C7_ALL_1676_GSE3982_BCELL_VS_BASOPHIL_DN","C7_Immunologic_signatures","C7_ALL_1676_GSE3982_BCELL_VS_BASOPHIL_DN",197,-2.2728,0,0,0.9517,0.6,0.89,-0.8935,0.78,0.96
"C2_Chemical_and_genetic_perturbations:C2_CGP_2549_RUTELLA_RESPONSE_TO_HGF_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2549_RUTELLA_RESPONSE_TO_HGF_DN",234,-2.2712,0,2.7e-05,-0.997,0.45,1,-1.4968,0.002,0.3
"C4_Cancer_gene_neighborhoods:C4_CGN_409_GNF2_SPI1","C4_Cancer_gene_neighborhoods","C4_CGN_409_GNF2_SPI1",34,-2.2706,0,0,0.6357,0.96,1,-1.2338,0.16,0.39
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_47_BIOCARTA_CTL_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_47_BIOCARTA_CTL_PATHWAY",13,-2.2706,0,0,1.3466,0.12,0.52,-1.54,0.04,0.32
"C2_Chemical_and_genetic_perturbations:C2_CGP_2548_RUTELLA_RESPONSE_TO_HGF_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2548_RUTELLA_RESPONSE_TO_HGF_UP",413,-2.2701,0,2.6e-05,0.7779,1,1,1.0233,0.36,0.94
"C4_Cancer_gene_neighborhoods:C4_CGN_384_GNF2_MYD88","C4_Cancer_gene_neighborhoods","C4_CGN_384_GNF2_MYD88",60,-2.2689,0,0,1.1115,0.26,0.35,-0.8546,0.72,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_304_NAGASHIMA_EGF_SIGNALING_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_304_NAGASHIMA_EGF_SIGNALING_UP",58,-2.2686,0,2.6e-05,-2.0267,0,0.075,-1.2412,0.14,0.48
"C7_Immunologic_signatures:C7_ALL_972_GSE22886_DC_VS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_972_GSE22886_DC_VS_MONOCYTE_DN",199,-2.2661,0,0,0.8456,0.89,1,-1.3124,0.025,0.13
"C2_Chemical_and_genetic_perturbations:C2_CGP_3063_WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3063_WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP",376,-2.2655,0,2.5e-05,-0.9387,0.65,1,-1.2478,0.013,0.48
"KEGG_pathway:HSA04640_HEMATOPOIETIC_CELL_LINEAGE","KEGG_pathway","HSA04640_HEMATOPOIETIC_CELL_LINEAGE",85,-2.2636,0,0,1.018,0.42,0.85,-1.0706,0.31,0.57
"C2_Chemical_and_genetic_perturbations:C2_CGP_1146_AMIT_SERUM_RESPONSE_40_MCF10A","C2_Chemical_and_genetic_perturbations","C2_CGP_1146_AMIT_SERUM_RESPONSE_40_MCF10A",32,-2.2612,0,2.5e-05,-1.7411,0.008,0.35,-1.3617,0.086,0.38
"C2_Chemical_and_genetic_perturbations:C2_CGP_2983_DAZARD_UV_RESPONSE_CLUSTER_G28","C2_Chemical_and_genetic_perturbations","C2_CGP_2983_DAZARD_UV_RESPONSE_CLUSTER_G28",20,-2.2612,0,2.4e-05,-1.9245,0.002,0.1,-1.8523,0.0021,0.085
"GO_BP:946597_GO_1990266_NEUTROPHIL_MIGRATION","GO_BP","946597_GO_1990266_NEUTROPHIL_MIGRATION",44,-2.2604,0,7.6e-05,-0.9868,0.47,1,0.8212,0.76,1
"C1_Positional:C1_ALL_235_CHR11Q11","C1_Positional","C1_ALL_235_CHR11Q11",46,-2.2592,0,0.00097,2.2543,0,0,2.5946,0,0
"REACTOME:1127556_REACT_264075_ATTENUATION_PHASE","REACTOME","1127556_REACT_264075_ATTENUATION_PHASE",14,-2.259,0,0,-2.0208,0,0.025,-2.2917,0,0.0013
"C7_Immunologic_signatures:C7_ALL_1267_GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP","C7_Immunologic_signatures","C7_ALL_1267_GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP",187,-2.2563,0,0,0.8872,0.81,1,-1.3481,0.01,0.098
